feature,importance_mean,importance_std
VOL_0.5,0.1304,0.0972
UMD_2_6,0.1194,0.0588
VOL_1,0.117,0.079
STR_1,0.0782,0.0755
UMD_7_12,0.0621,0.0531
Beta,0.0483,0.0491
VOL_2,0.0301,0.0267
STR_6,0.0254,0.0187
industryKey_entertainment,0.0136,0.0084
industryKey_credit-services,0.0098,0.0147
HML_2,0.0039,0.0083
sectorKey_technology,0.0032,0.0035
sectorKey_communication-services,0.0023,0.0019
sectorKey_financial-services,0.0023,0.0056
VOL_3,0.0018,0.0152
UMD_2_12,0.0006,0.0111
country_Other,0.0,0.0
country_US,0.0,0.0
sectorKey_consumer-cyclical,-0.0,0.0003
sectorKey_consumer-defensive,0.0,0.0
sectorKey_healthcare,0.0,0.0
industryKey_auto-manufacturers,0.0,0.0
industryKey_banks-diversified,0.0,0.0
industryKey_consumer-electronics,0.0,0.0
industryKey_discount-stores,0.0,0.0
industryKey_drug-manufacturers-general,0.0,0.0
industryKey_internet-content-information,0.0,0.0
industryKey_oil-gas-integrated,0.0,0.0
industryKey_semiconductor-equipment-materials,0.0,0.0
industryKey_semiconductors,-0.0,0.0005
industryKey_software-infrastructure,0.0,0.0
sectorKey_energy,-0.0001,0.0002
industryKey_internet-retail,-0.001,0.0007
VOL_5,-0.0067,0.007
HML_3,-0.0106,0.0452
HML_5,-0.0333,0.034
