Feature,Global_SHAP
VOL_0.5,0.0804
VOL_1,0.0771
Beta,0.0672
UMD_7_12,0.0519
UMD_2_6,0.048
STR_1,0.0442
HML_5,0.0312
HML_3,0.0273
VOL_2,0.0258
VOL_5,0.0243
VOL_3,0.0204
UMD_2_12,0.0153
STR_6,0.0124
HML_2,0.0083
sectorKey_technology,0.0037
industryKey_entertainment,0.0037
sectorKey_communication-services,0.0029
industryKey_drug-manufacturers-general,0.0025
sectorKey_financial-services,0.0022
industryKey_credit-services,0.0018
sectorKey_healthcare,0.0012
industryKey_software-infrastructure,0.0011
country_US,0.0005
industryKey_internet-retail,0.0005
country_Other,0.0003
industryKey_semiconductors,0.0003
sectorKey_energy,0.0002
sectorKey_consumer-cyclical,0.0001
sectorKey_consumer-defensive,0.0
industryKey_auto-manufacturers,0.0
industryKey_banks-diversified,0.0
industryKey_consumer-electronics,0.0
industryKey_discount-stores,0.0
industryKey_internet-content-information,0.0
industryKey_oil-gas-integrated,0.0
industryKey_semiconductor-equipment-materials,0.0
